subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Grammatical reasoning,30,40-49,College/Some college/Associate's,Male,8809,8.78,3.92,4,6,9,11,14
Grammatical reasoning,30,40-49,College/Some college/Associate's,Female,13748,8.52,3.84,3,6,8,11,14
Grammatical reasoning,30,40-49,Professional deg./Ph.D./Master's,Male,4814,9.36,3.91,4,7,9,12,15
Grammatical reasoning,30,40-49,Professional deg./Ph.D./Master's,Female,7495,9.26,4.05,4,6,9,12,15
Grammatical reasoning,30,50-59,HS/Some HS,Male,2114,6.98,3.39,3,4,7,9,12
Grammatical reasoning,30,50-59,HS/Some HS,Female,4053,6.82,3.41,2,4,7,9,11
Grammatical reasoning,30,50-59,College/Some college/Associate's,Male,9818,8.0,3.58,3,5,8,10,13
Grammatical reasoning,30,50-59,College/Some college/Associate's,Female,23008,7.86,3.6,3,5,8,10,13
Grammatical reasoning,30,50-59,Professional deg./Ph.D./Master's,Male,5000,8.63,3.77,4,6,9,11,14
Grammatical reasoning,30,50-59,Professional deg./Ph.D./Master's,Female,11019,8.45,3.67,4,6,8,11,13
Grammatical reasoning,30,60-69,HS/Some HS,Male,1319,6.24,3.22,2,4,6,8,11
Grammatical reasoning,30,60-69,HS/Some HS,Female,3307,6.13,3.19,2,4,6,8,10
Grammatical reasoning,30,60-69,College/Some college/Associate's,Male,8203,7.21,3.41,3,5,7,10,12
Grammatical reasoning,30,60-69,College/Some college/Associate's,Female,18359,7.14,3.38,3,5,7,9,12
Grammatical reasoning,30,60-69,Professional deg./Ph.D./Master's,Male,5523,7.81,3.51,3,5,8,10,12
Grammatical reasoning,30,60-69,Professional deg./Ph.D./Master's,Female,10682,7.64,3.49,3,5,8,10,12
Grammatical reasoning,30,70-99,HS/Some HS,Male,625,5.32,3.02,2,3,5,7,9
Grammatical reasoning,30,70-99,HS/Some HS,Female,1534,5.28,2.9,2,3,5,7,9
Grammatical reasoning,30,70-99,College/Some college/Associate's,Male,3405,6.21,3.19,2,4,6,8,10
Grammatical reasoning,30,70-99,College/Some college/Associate's,Female,6485,6.14,3.14,2,4,6,8,10
Grammatical reasoning,30,70-99,Professional deg./Ph.D./Master's,Male,3016,6.73,3.23,3,4,7,9,11
Grammatical reasoning,30,70-99,Professional deg./Ph.D./Master's,Female,3503,6.71,3.26,2,4,7,9,11
Progressive matrices,31,18-29,HS/Some HS,Male,5605,10.03,3.53,5,8,11,13,14
Progressive matrices,31,18-29,HS/Some HS,Female,2729,9.71,3.29,5,8,10,12,14
Progressive matrices,31,18-29,College/Some college/Associate's,Male,19537,11.13,3.35,6,9,12,14,15
Progressive matrices,31,18-29,College/Some college/Associate's,Female,15666,10.73,3.17,6,9,11,13,14
Progressive matrices,31,18-29,Professional deg./Ph.D./Master's,Male,3392,11.74,3.32,7,10,12,14,15
Progressive matrices,31,18-29,Professional deg./Ph.D./Master's,Female,3929,11.4,3.05,7,10,12,14,15
Progressive matrices,31,30-39,HS/Some HS,Male,1866,9.92,3.48,5,8,10,12,14
Progressive matrices,31,30-39,HS/Some HS,Female,1213,9.56,3.3,5,7,10,12,13
Progressive matrices,31,30-39,College/Some college/Associate's,Male,11274,11.09,3.32,6,9,12,13,15
Progressive matrices,31,30-39,College/Some college/Associate's,Female,10760,10.64,3.2,6,9,11,13,14
Progressive matrices,31,30-39,Professional deg./Ph.D./Master's,Male,5247,11.64,3.21,7,10,12,14,15
Progressive matrices,31,30-39,Professional deg./Ph.D./Master's,Female,6389,11.25,3.11,7,10,12,13,15
Progressive matrices,31,40-49,HS/Some HS,Male,1712,9.53,3.46,4,7,10,12,14
Progressive matrices,31,40-49,HS/Some HS,Female,1976,9.43,3.26,5,7,10,12,13
Progressive matrices,31,40-49,College/Some college/Associate's,Male,8764,10.47,3.39,5,8,11,13,14
Progressive matrices,31,40-49,College/Some college/Associate's,Female,13674,10.25,3.22,5,8,11,13,14
Progressive matrices,31,40-49,Professional deg./Ph.D./Master's,Male,4794,11.13,3.35,6,9,12,13,15
Progressive matrices,31,40-49,Professional deg./Ph.D./Master's,Female,7459,10.9,3.08,6,9,11,13,14
Progressive matrices,31,50-59,HS/Some HS,Male,2095,8.96,3.46,4,6,9,12,13
Progressive matrices,31,50-59,HS/Some HS,Female,4029,9.05,3.3,4,7,10,12,13
Progressive matrices,31,50-59,College/Some college/Associate's,Male,9754,9.84,3.42,5,8,10,12,14
